Event,Course,Gender,Time,Meet,Age Group
100 Back,SCY,Female,57.09,Futures,18&U
200 Back,SCY,Female,2:04.19,Futures,18&U
100 Breast,SCY,Female,1:05.49,Futures,18&U
200 Breast,SCY,Female,2:22.69,Futures,18&U
100 Fly,SCY,Female,56.59,Futures,18&U
200 Fly,SCY,Female,2:05.39,Futures,18&U
200 IM,SCY,Female,2:06.39,Futures,18&U
400 IM,SCY,Female,4:30.69,Futures,18&U
50 Free,SCY,Male,21.29,Futures,18&U
100 Free,SCY,Male,46.39,Futures,18&U
200 Free,SCY,Male,1:41.59,Futures,18&U
400 Free,SCY,Male,4:37.09,Futures,18&U
800 Free,SCY,Male,9:34.29,Futures,18&U
1500 Free,SCY,Male,16:05.49,Futures,18&U
100 Back,SCY,Male,51.49,Futures,18&U
200 Back,SCY,Male,1:52.79,Futures,18&U
100 Breast,SCY,Male,57.99,Futures,18&U
200 Breast,SCY,Male,2:07.99,Futures,18&U
100 Fly,SCY,Male,50.59,Futures,18&U
200 Fly,SCY,Male,1:53.69,Futures,18&U
200 IM,SCY,Male,1:53.89,Futures,18&U
400 IM,SCY,Male,4:06.99,Futures,18&U
50 Free,LCM,Female,27.39,Futures,18&U
100 Free,LCM,Female,59.29,Futures,18&U
200 Free,LCM,Female,2:07.79,Futures,18&U
400 Free,LCM,Female,4:28.79,Futures,18&U
800 Free,LCM,Female,9:13.79,Futures,18&U
1500 Free,LCM,Female,17:40.19,Futures,18&U
100 Back,LCM,Female,1:06.79,Futures,18&U
200 Back,LCM,Female,2:23.99,Futures,18&U
100 Breast,LCM,Female,1:15.99,Futures,18&U
200 Breast,LCM,Female,2:43.39,Futures,18&U
100 Fly,LCM,Female,1:04.69,Futures,18&U
200 Fly,LCM,Female,2:21.89,Futures,18&U
200 IM,LCM,Female,2:26.19,Futures,18&U
400 IM,LCM,Female,5:07.29,Futures,18&U
50 Free,LCM,Male,24.59,Futures,18&U
100 Free,LCM,Male,53.59,Futures,18&U
200 Free,LCM,Male,1:57.79,Futures,18&U
400 Free,LCM,Male,4:09.99,Futures,18&U
800 Free,LCM,Male,8:40.69,Futures,18&U
1500 Free,LCM,Male,16:38.99,Futures,18&U
100 Back,LCM,Male,1:00.59,Futures,18&U
200 Back,LCM,Male,2:11.89,Futures,18&U
100 Breast,LCM,Male,1:08.19,Futures,18&U
200 Breast,LCM,Male,2:29.09,Futures,18&U
100 Fly,LCM,Male,57.99,Futures,18&U
200 Fly,LCM,Male,2:10.19,Futures,18&U
200 IM,LCM,Male,2:12.79,Futures,18&U
400 IM,LCM,Male,4:42.39,Futures,18&U
50 Free,SCY,Female,29.29,USRY,13-14
50 Free,SCY,Female,27.89,USRY,Open
50 Free,SCY,Male,27.39,USRY,13-14
50 Free,SCY,Male,25.09,USRY,Open
100 Free,SCY,Female,1:02.89,USRY,13-14
100 Free,SCY,Female,1:00.19,USRY,Open
100 Free,SCY,Male,59.49,USRY,13-14
100 Free,SCY,Male,54.49,USRY,Open
200 Free,SCY,Female,2:17.29,USRY,13-14
200 Free,SCY,Female,2:10.59,USRY,Open
200 Free,SCY,Male,2:06.59,USRY,13-14
200 Free,SCY,Male,1:59.39,USRY,Open
500 Free,SCY,Female,5:56.19,USRY,13-14
500 Free,SCY,Female,5:41.49,USRY,Open
500 Free,SCY,Male,5:39.39,USRY,13-14
500 Free,SCY,Male,5:15.79,USRY,Open
1000 Free,SCY,Female,11:51.79,USRY,13-14
1000 Free,SCY,Female,11:51.79,USRY,Open
1000 Free,SCY,Male,11:16.69,USRY,13-14
1000 Free,SCY,Male,11:16.69,USRY,Open
1650 Free,SCY,Female,19:42.39,USRY,13-14
1650 Free,SCY,Female,19:42.39,USRY,Open
1650 Free,SCY,Male,18:54.59,USRY,13-14
1650 Free,SCY,Male,18:54.59,USRY,Open
100 Back,SCY,Female,1:14.19,USRY,13-14
100 Back,SCY,Female,1:10.19,USRY,Open
100 Back,SCY,Male,1:10.29,USRY,13-14
100 Back,SCY,Male,1:03.29,USRY,Open
200 Back,SCY,Female,2:32.89,USRY,13-14
200 Back,SCY,Female,2:26.29,USRY,Open
200 Back,SCY,Male,2:24.99,USRY,13-14
200 Back,SCY,Male,2:12.99,USRY,Open
100 Breast,SCY,Female,1:24.29,USRY,13-14
100 Breast,SCY,Female,1:19.39,USRY,Open
100 Breast,SCY,Male,1:19.79,USRY,13-14
100 Breast,SCY,Male,1:11.79,USRY,Open
200 Breast,SCY,Female,2:53.99,USRY,13-14
200 Breast,SCY,Female,2:45.19,USRY,Open
200 Breast,SCY,Male,2:45.59,USRY,13-14
200 Breast,SCY,Male,2:33.99,USRY,Open
100 Fly,SCY,Female,1:12.79,USRY,13-14
100 Fly,SCY,Female,1:07.99,USRY,Open
100 Fly,SCY,Male,1:08.09,USRY,13-14
100 Fly,SCY,Male,1:01.09,USRY,Open
200 Fly,SCY,Female,2:31.79,USRY,13-14
200 Fly,SCY,Female,2:26.99,USRY,Open
200 Fly,SCY,Male,2:24.99,USRY,13-14
200 Fly,SCY,Male,2:16.99,USRY,Open
200 IM,SCY,Female,2:33.19,USRY,13-14
200 IM,SCY,Female,2:26.99,USRY,Open
200 IM,SCY,Male,2:21.39,USRY,13-14
200 IM,SCY,Male,2:15.69,USRY,Open
400 IM,SCY,Female,5:20.19,USRY,13-14
400 IM,SCY,Female,5:04.99,USRY,Open
400 IM,SCY,Male,5:03.39,USRY,13-14
400 IM,SCY,Male,4:39.39,USRY,Open
50 Free,SCY,Female,29.99,Capital Classic,12&U
50 Free,LCM,Female,33.99,Capital Classic,12&U
50 Free,SCY,Male,28.99,Capital Classic,12&U
50 Free,LCM,Male,32.99,Capital Classic,12&U
100 Free,SCY,Female,1:03.99,Capital Classic,12&U
100 Free,LCM,Female,1:13.99,Capital Classic,12&U
100 Free,SCY,Male,1:02.99,Capital Classic,12&U
100 Free,LCM,Male,1:11.99,Capital Classic,12&U
200 Free,SCY,Female,2:19.99,Capital Classic,12&U
200 Free,LCM,Female,2:37.99,Capital Classic,12&U
200 Free,SCY,Male,2:16.99,Capital Classic,12&U
200 Free,LCM,Male,2:34.99,Capital Classic,12&U
500 Free,SCY,Female,6:09.99,Capital Classic,12&U
400 Free,LCM,Female,5:32.99,Capital Classic,12&U
500 Free,SCY,Male,6:04.99,Capital Classic,12&U
400 Free,LCM,Male,5:27.99,Capital Classic,12&U
100 Back,SCY,Female,1:14.99,Capital Classic,12&U
100 Back,LCM,Female,1:23.99,Capital Classic,12&U
100 Back,SCY,Male,1:12.99,Capital Classic,12&U
100 Back,LCM,Male,1:22.99,Capital Classic,12&U
200 Back,SCY,Female,2:35.99,Capital Classic,12&U
200 Back,LCM,Female,3:00.99,Capital Classic,12&U
200 Back,SCY,Male,2:32.99,Capital Classic,12&U
200 Back,LCM,Male,2:56.99,Capital Classic,12&U
100 Breast,SCY,Female,1:22.99,Capital Classic,12&U
100 Breast,LCM,Female,1:33.99,Capital Classic,12&U
100 Breast,SCY,Male,1:22.99,Capital Classic,12&U
100 Breast,LCM,Male,1:33.99,Capital Classic,12&U
200 Breast,SCY,Female,2:59.99,Capital Classic,12&U
200 Breast,LCM,Female,3:27.99,Capital Classic,12&U
200 Breast,SCY,Male,2:56.99,Capital Classic,12&U
200 Breast,LCM,Male,3:24.99,Capital Classic,12&U
100 Fly,SCY,Female,1:13.99,Capital Classic,12&U
100 Fly,LCM,Female,1:22.99,Capital Classic,12&U
100 Fly,SCY,Male,1:11.99,Capital Classic,12&U
100 Fly,LCM,Male,1:21.99,Capital Classic,12&U
200 Fly,SCY,Female,2:44.99,Capital Classic,12&U
200 Fly,LCM,Female,3:05.99,Capital Classic,12&U
200 Fly,SCY,Male,2:39.99,Capital Classic,12&U
200 Fly,LCM,Male,3:02.99,Capital Classic,12&U
200 IM,SCY,Female,2:37.99,Capital Classic,12&U
200 IM,LCM,Female,2:59.99,Capital Classic,12&U
